"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68"
"35",0.142696966649964,0.972373207798228,0.0861067043151706,124,8,2,8,6,3,6,2,4,3,0.614044389222252,0.152524281284888,0.224239775728352,0.635905290068953,0.297396334507362,0.864223210032548,0.30494409834055,0.910599600679715,1,0,0.773346011410269,0.7638859820833,550,30504,0.293507953213767,2,1,1,2,0,2,0,1,5,31,67,18,1,3,1,26,2,1,1,2,0,2,0,1,5,31,67,18,1,3,1,26,1.0989010989011,0.0769230769230769,0.010989010989011,0.32967032967033,0,1,0,0.010989010989011
"36",0.0819237602408975,0.307369707152247,0.0227275716373697,507,4,6,4,5,2,-1,-1,-1,-1,0.1907386172403,0.0934717362597516,0.257028965625777,0.195350319111061,-1,-1,-1,-1,1,0,0.632978723404255,0.102287515412249,299,513084,0.25,0,0,0,2,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,0,0,0,2,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,0,0,0,0.666666666666667,-1,-1,-1,-1
"37",0.063168088439852,0.215941607719287,0.0521826760843396,528,5,7,7,3,3,4,-1,-1,-1,0.117217592947591,0.114337248444567,0.0899968696543812,0.147301069992982,0.141578996344157,-1,-1,-1,0,0,0.510225885225885,0.0994776693740426,568,556512,0,1,0,0,1,1,-1,-1,-1,2,1,1,13,7,-1,-1,-1,1,0,0,1,1,-1,-1,-1,2,1,1,13,7,-1,-1,-1,0.166666666666667,0,0,0.0555555555555556,0.0555555555555556,-1,-1,-1
"38",0.813484957208857,0.868307918542996,0.046840099291876,695,7,4,4,5,6,6,4,6,-1,0.828097879546279,0.825954503503981,0.83539202182519,0.842837352661055,0.835323425920144,0.856101865851658,0.86175899009448,-1,1,0,0.566558441558442,0.254300105806117,1231,964660,0,1,1,1,0,1,0,0,-1,10,44,12,1,4,1,1,-1,1,1,1,0,1,0,0,-1,10,44,12,1,4,1,1,-1,0.0434782608695652,0.0217391304347826,0.0217391304347826,0,0.152173913043478,0,0,-1
"39",0.16279961518012,0.805600576568395,0.0575869053136557,789,4,5,2,4,3,-1,-1,-1,-1,0.684989496043815,0.651943224888268,0.454391960939403,0.734826993303132,-1,-1,-1,-1,0,0,0.513333333333333,0.336889385224318,1206,1243464,0.500874579001938,1,2,1,1,-1,-1,-1,-1,4,5,25,2,-1,-1,-1,-1,1,2,1,1,-1,-1,-1,-1,4,5,25,2,-1,-1,-1,-1,0.0769230769230769,0.723076923076923,0.0615384615384615,0.0461538461538462,-1,-1,-1,-1
"40",0.462480627000332,0.832462472608313,0.0838528935331851,445,8,4,5,7,7,4,6,7,3,0.716578824936251,0.830236056174692,0.751107446758066,0.805160687208669,0.486732781728272,0.56048454341951,0.511903797630439,0.768108206351962,1,1,0.615954346770277,0.383195920083811,1057,395160,0.500754105747835,1,1,1,1,0,1,1,3,1,8,36,42,1,5,5,1,1,1,1,1,0,1,1,3,1,8,36,42,1,5,5,1,0.396551724137931,0.0862068965517241,0.0172413793103448,0.0172413793103448,0,0.0172413793103448,0.206896551724138,1.36206896551724
"41",0.394543005619198,0.682279279222712,0.0335510335862637,794,4,2,8,7,7,-1,-1,-1,-1,0.539249666370725,0.654924339468256,0.471446205825472,0.565275058863904,-1,-1,-1,-1,1,0,0.658534053156146,0.261906332081032,711,1259284,0.0957281040838229,2,0,0,1,-1,-1,-1,-1,1,1,1,26,-1,-1,-1,-1,2,0,0,1,-1,-1,-1,-1,1,1,1,26,-1,-1,-1,-1,1.28571428571429,0,0,0.0357142857142857,-1,-1,-1,-1
"42",0.00332132074981928,0.956675647525117,0.0748338584089652,491,3,8,8,7,-1,-1,-1,-1,-1,0.853510929953507,0.293986628087271,0.390665836994427,-1,-1,-1,-1,-1,1,0,0.551077414205906,0.121259176696366,620,481180,0,0,0,1,-1,-1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,0,0,0.19047619047619,-1,-1,-1,-1,-1
"43",0.278201200067997,0.329309512162581,0.00241495002992451,234,5,3,4,7,3,8,-1,-1,-1,0.284138073113845,0.310636796866517,0.290296541207983,0.318038340038638,0.324114972428136,-1,-1,-1,0,0,0.517737714451876,0.097662680875569,617,109044,0,1,1,1,1,1,-1,-1,-1,1,4,4,1,6,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,4,4,1,6,-1,-1,-1,0.526315789473684,0.0526315789473684,0.0526315789473684,0.421052631578947,0.0526315789473684,-1,-1,-1
"44",0.0623439729679376,0.106731607811525,0.0485517706023529,718,5,7,5,7,4,3,-1,-1,-1,0.0790871486994556,0.0881976626890659,0.0917839403908705,0.068142615052704,0.0675089458601266,-1,-1,-1,1,0,0.428424516659811,0.0518379621276757,369,1029612,0,1,0,0,1,1,-1,-1,-1,2,1,1,10,8,-1,-1,-1,1,0,0,1,1,-1,-1,-1,2,1,1,10,8,-1,-1,-1,0.0769230769230769,0,0,0.0769230769230769,0.0769230769230769,-1,-1,-1
