"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"36105",0.3,1,0.05,0.697045856012408,0.440964700507243,3203,0.645029978238923,0.535597520478271,378,0.869501950452104,0.482299439958297,0.807084124861285,0.934264505910687,5,4,4,4,3,4,4,4,253,271,7,1,57,107,2,1
"36106",0.3,1,0.05,0.7418532484234,0.527834209774012,3137,0.422365131629795,0.328503637653659,310,0.373255089554004,0.790740221459418,0.66957198898308,0.865554640605114,4,5,5,4,4,4,4,4,173,142,287,1,42,20,133,1
"36107",0.3,1,0.05,0.798154697855274,0.581778357153658,1989,0.705303806904771,0.590613710967768,327,0.865238372329622,0.984653007681481,0.970553601533174,0.833912299503572,5,5,4,4,3,5,4,4,265,181,1,38,113,39,1,4
"36108",0.3,1,0.05,0.780744393389115,0.596649333591751,2429,0.718778078680966,0.449093665059532,257,0.470624573412351,0.854407298075966,0.538043646980077,0.980443750461564,5,4,4,4,1,4,3,4,205,29,128,1,106,3,65,1
"36109",0.3,1,0.05,0.748281116937833,0.431554494242942,2987,0.823400619348772,0.605377724089572,333,0.525056425272487,0.803249252820387,0.503611370828003,0.952588869282044,4,4,5,5,4,4,2,5,127,1,109,3,17,1,16,2
"36110",0.3,1,0.05,0.682191738971038,0.322422619774343,3408,0.819798380609303,0.727614061778819,334,0.610606511449441,0.393853305256926,0.573460452840663,0.558521040296182,4,4,4,4,4,2,4,4,1,69,2,49,1,40,2,15
"36201",0.3,1,0.1,0.698047361363854,0.475279159346946,4119,0.59463698653847,0.432317401997357,409,0.441177351726219,0.928872779477388,0.961272688023746,0.762558454740792,4,4,5,5,3,4,5,2,156,1,195,44,25,1,146,8
"36202",0.3,1,0.1,0.587380150385598,0.264245671681278,6116,0.349314084752372,0.215562650748934,361,0.359595178207383,0.457805631519295,0.49217136609368,0.490613546362147,5,4,4,5,3,4,4,2,328,48,1,43,202,15,1,13
"36203",0.3,1,0.1,0.735129328327076,0.507064632814869,2709,0.67378153144713,0.462079038603215,412,0.960687537188642,0.960432471055537,0.390411283704452,0.883414170937613,4,5,5,4,4,5,2,4,1,75,201,11,1,5,26,2
"36204",0.3,1,0.1,0.674345583287943,0.391438895696613,5467,0.435986078153766,0.336717504635364,412,0.721470472333021,0.723075837828219,0.387243410968222,0.506220646970905,4,5,4,4,4,3,4,3,1,290,219,352,1,146,118,188
"36205",0.3,1,0.1,0.666720605232741,0.424404506912846,4548,0.577550397433087,0.482236237501265,458,0.869501950452104,0.482299439958297,0.807084124861285,0.934264505910687,5,4,4,4,3,3,4,4,287,171,5,1,69,28,3,1
"36206",0.3,1,0.1,0.694552897253868,0.522802416436226,4479,0.375257675730028,0.278755144565899,399,0.373255089554004,0.790740221459418,0.66957198898308,0.865554640605114,4,5,5,4,4,4,2,4,267,333,113,1,12,169,24,1
"36207",0.3,1,0.1,0.726248169722434,0.543471917571,2786,0.641017416215035,0.532293125524855,430,0.865238372329622,0.984653007681481,0.970553601533174,0.833912299503572,5,5,4,4,3,5,4,4,376,228,1,19,170,39,1,3
"36208",0.3,1,0.1,0.693392092441757,0.491946119079899,3713,0.557354509099727,0.340700998805549,380,0.470624573412351,0.854407298075966,0.538043646980077,0.980443750461564,5,4,4,4,1,4,3,4,99,21,257,1,53,2,98,1
"36209",0.3,1,0.1,0.678757057525174,0.390245549622441,4176,0.779871383110452,0.545178668562151,408,0.525056425272487,0.803249252820387,0.503611370828003,0.952588869282044,4,4,5,5,4,4,1,5,59,1,36,33,18,1,20,6
"36210",0.3,1,0.1,0.621899494548133,0.305050824251391,4709,0.844545443495001,0.649757468823819,410,0.610606511449441,0.393853305256926,0.573460452840663,0.558521040296182,4,4,4,4,4,2,4,4,1,168,2,36,1,192,2,15
"36301",0.3,1,0.15,0.64220000814847,0.445026731879007,5171,0.566586867037672,0.371356909099916,499,0.441177351726219,0.928872779477388,0.961272688023746,0.762558454740792,4,4,5,5,3,4,5,2,19,1,2,212,38,1,2,197
"36302",0.3,1,0.15,0.581258948050177,0.30665769669142,8946,0.365592347680884,0.181931365893295,456,0.359595178207383,0.457805631519295,0.49217136609368,0.490613546362147,5,4,4,5,1,3,4,3,25,36,1,229,16,14,1,148
"36303",0.3,1,0.15,0.67595503115525,0.493636659039486,4064,0.582233307417118,0.423022075618757,517,0.960687537188642,0.960432471055537,0.390411283704452,0.883414170937613,4,5,5,4,4,5,2,4,1,92,304,32,1,9,55,3
"36304",0.3,1,0.15,0.606702030329949,0.380385448552957,7557,0.410492452735739,0.315241065031525,502,0.721470472333021,0.723075837828219,0.387243410968222,0.506220646970905,4,5,4,4,4,3,3,3,1,161,187,67,1,61,95,10
"36305",0.3,1,0.15,0.589444961566178,0.369806486705639,6744,0.621584454123097,0.359232748168221,547,0.869501950452104,0.482299439958297,0.807084124861285,0.934264505910687,5,4,4,4,2,3,4,4,77,343,5,1,110,93,2,1
"36306",0.3,1,0.15,0.639905488710636,0.469674254697357,6661,0.397489611372402,0.223536956953547,496,0.373255089554004,0.790740221459418,0.66957198898308,0.865554640605114,4,5,5,4,3,2,2,4,171,102,116,1,120,10,14,1
"36307",0.3,1,0.15,0.681309784491179,0.517355907713804,4217,0.587310031681786,0.445734868773704,504,0.865238372329622,0.984653007681481,0.970553601533174,0.833912299503572,5,5,4,4,2,5,4,4,114,358,1,28,38,22,1,3
"36308",0.3,1,0.15,0.646577112859316,0.46412947198436,5496,0.586859453420555,0.341846077884781,486,0.470624573412351,0.854407298075966,0.538043646980077,0.980443750461564,5,4,4,4,2,4,3,4,219,45,284,1,35,3,132,1
"36309",0.3,1,0.15,0.615136925063744,0.375159172382054,6272,0.621799468278253,0.414732192231977,499,0.525056425272487,0.803249252820387,0.503611370828003,0.952588869282044,4,4,5,5,4,4,1,5,38,1,112,4,15,1,34,3
"36310",0.3,1,0.15,0.583467692340601,0.316240707046033,7834,0.641391173555375,0.45983005635896,498,0.610606511449441,0.393853305256926,0.573460452840663,0.558521040296182,4,4,4,4,4,2,4,4,1,252,20,154,1,182,11,70
"36401",0.3,1,0.2,0.605804380812039,0.422944992034402,8017,0.488799386731914,0.309037674278963,604,0.441177351726219,0.928872779477388,0.961272688023746,0.762558454740792,4,4,5,5,2,4,5,2,191,1,54,311,132,1,7,160
"36402",0.3,1,0.2,0.561148207698856,0.324541088332988,12482,0.141456592485288,0.0775781029066707,545,0.359595178207383,0.457805631519295,0.49217136609368,0.490613546362147,5,4,4,5,2,4,4,3,202,115,1,517,162,53,1,36
"36403",0.3,1,0.2,0.636358522773582,0.488060703650048,5010,0.531875300412217,0.37577751730422,618,0.960687537188642,0.960432471055537,0.390411283704452,0.883414170937613,4,5,5,4,4,5,3,4,1,196,424,24,1,25,97,2
"36404",0.3,1,0.2,0.609853471867841,0.407094100663311,9426,0.378930564774703,0.272149832976819,577,0.721470472333021,0.723075837828219,0.387243410968222,0.506220646970905,4,5,4,4,4,2,3,3,1,128,342,30,1,24,32,16
"36405",0.3,1,0.2,0.568549647888967,0.379827733848486,8380,0.399577021939791,0.238872943470608,622,0.869501950452104,0.482299439958297,0.807084124861285,0.934264505910687,5,4,4,4,2,2,4,4,145,12,11,1,30,4,3,1
"36406",0.3,1,0.2,0.60724303956458,0.455306234338122,8637,0.343806156464699,0.20182503059729,581,0.373255089554004,0.790740221459418,0.66957198898308,0.865554640605114,4,5,5,4,3,2,2,4,167,113,129,1,23,11,21,1
"36407",0.3,1,0.2,0.639368329787805,0.503022158003766,5946,0.543599777574792,0.39528957981079,602,0.865238372329622,0.984653007681481,0.970553601533174,0.833912299503572,5,5,4,4,3,2,4,4,324,136,1,26,57,14,1,3
"36408",0.3,1,0.2,0.621456548700643,0.482696548138686,5943,0.481518496306157,0.247236376804841,587,0.470624573412351,0.854407298075966,0.538043646980077,0.980443750461564,5,4,4,4,1,4,2,4,71,48,308,1,13,3,83,1
"36409",0.3,1,0.2,0.595292677808789,0.385585822215519,7268,0.529219791091509,0.356385270171975,580,0.525056425272487,0.803249252820387,0.503611370828003,0.952588869282044,4,4,5,5,4,4,1,5,21,1,2,4,8,1,4,3
"36410",0.3,1,0.2,0.554830798699791,0.334400560027522,10236,0.505825775476006,0.358127629763392,584,0.610606511449441,0.393853305256926,0.573460452840663,0.558521040296182,4,4,4,4,4,2,4,3,8,248,6,7,14,3,12,15
"36501",0.3,1,0.25,0.57818890593047,0.448322845643343,8708,0.403065956495476,0.241893886822865,691,0.441177351726219,0.928872779477388,0.961272688023746,0.762558454740792,4,4,5,5,3,4,5,2,308,1,68,14,180,1,4,34
"36502",0.3,1,0.25,0.536618160186187,0.36913634615085,12835,0.141833844421686,0.0716585572081469,629,0.359595178207383,0.457805631519295,0.49217136609368,0.490613546362147,5,4,4,5,2,3,4,3,205,333,3,237,223,215,3,143
"36503",0.3,1,0.25,0.600148853631605,0.497365851378403,6713,0.426942921185539,0.29877859989533,716,0.960687537188642,0.960432471055537,0.390411283704452,0.883414170937613,4,5,5,4,4,5,2,4,1,43,672,5,1,9,292,3
"36504",0.3,1,0.25,0.58698182791575,0.419326241588048,12169,0.263352326314646,0.189419109354881,667,0.721470472333021,0.723075837828219,0.387243410968222,0.506220646970905,4,5,4,4,4,3,3,3,1,193,558,277,1,56,15,191
"36505",0.3,1,0.25,0.550823478158071,0.401893190786216,10825,0.327424650236129,0.165775493447953,705,0.869501950452104,0.482299439958297,0.807084124861285,0.934264505910687,5,4,4,4,3,3,4,4,337,199,5,1,119,177,3,1
"36506",0.3,1,0.25,0.586189802716199,0.449196649828171,10689,0.395511809171833,0.17783006917228,683,0.373255089554004,0.790740221459418,0.66957198898308,0.865554640605114,4,5,5,4,2,2,2,4,112,164,150,1,42,24,16,1
"36507",0.3,1,0.25,0.623384214480882,0.514803809111044,6373,0.496183200523319,0.346972129124674,716,0.865238372329622,0.984653007681481,0.970553601533174,0.833912299503572,5,5,4,4,3,3,4,4,603,252,1,44,268,87,1,3
"36508",0.3,1,0.25,0.597804884913144,0.480903176032548,7082,0.350245064136361,0.196474569052645,698,0.470624573412351,0.854407298075966,0.538043646980077,0.980443750461564,5,4,4,4,1,4,3,4,124,48,215,1,92,3,85,1
"36509",0.3,1,0.25,0.560137065634878,0.386304217678372,11135,0.38642492134544,0.253185160412002,657,0.525056425272487,0.803249252820387,0.503611370828003,0.952588869282044,4,4,5,5,4,4,2,4,40,1,80,109,8,1,38,81
"36510",0.3,1,0.25,0.524032027784864,0.362344942286411,15597,0.32050489501025,0.223265356011652,674,0.610606511449441,0.393853305256926,0.573460452840663,0.558521040296182,4,4,4,4,4,2,4,3,4,167,1,24,4,230,1,19
"36601",0.3,1,0.3,0.566613371362517,0.480338672138906,10944,0.258562353243906,0.157601802049729,783,0.441177351726219,0.928872779477388,0.961272688023746,0.762558454740792,4,4,5,5,3,4,4,2,532,1,355,101,150,1,216,52
"36602",0.3,1,0.3,0.547041239888365,0.393277441262615,13729,0.133352931912409,0.0475476635529044,713,0.359595178207383,0.457805631519295,0.49217136609368,0.490613546362147,5,4,4,5,2,4,4,2,658,16,4,180,4,10,6,189
"36603",0.3,1,0.3,0.580240485248189,0.489075347278494,7674,0.324678165635988,0.212396688076061,801,0.960687537188642,0.960432471055537,0.390411283704452,0.883414170937613,4,5,5,4,4,4,2,4,1,214,649,11,1,92,294,3
"36604",0.3,1,0.3,0.569318961818962,0.454330224630597,12421,0.195063772181349,0.138603963631143,740,0.721470472333021,0.723075837828219,0.387243410968222,0.506220646970905,4,5,4,4,4,2,4,2,1,27,276,48,1,15,30,25
"36605",0.3,1,0.3,0.519986813424516,0.440397286604016,13903,0.0989489065709695,0.0355802259575774,803,0.869501950452104,0.482299439958297,0.807084124861285,0.934264505910687,5,4,4,4,3,3,4,4,67,474,10,1,23,20,4,1
"36606",0.3,1,0.3,0.578664219428677,0.491127779659341,11972,0.258533582006808,0.135237884278554,774,0.373255089554004,0.790740221459418,0.66957198898308,0.865554640605114,4,5,5,4,3,2,2,4,144,132,150,1,11,45,60,1
"36607",0.3,1,0.3,0.599563279775049,0.532845990726445,8232,0.373015578496147,0.247289427048774,805,0.865238372329622,0.984653007681481,0.970553601533174,0.833912299503572,5,5,4,4,2,3,4,4,100,741,1,22,29,6,1,2
"36608",0.3,1,0.3,0.586403416438603,0.504493313815313,7485,0.232188727826339,0.120532755447246,794,0.470624573412351,0.854407298075966,0.538043646980077,0.980443750461564,5,4,4,4,1,4,3,4,91,49,75,1,30,3,57,1
"36609",0.3,1,0.3,0.553179789161942,0.419499083074382,13427,0.219520308311155,0.106829536070022,734,0.525056425272487,0.803249252820387,0.503611370828003,0.952588869282044,4,4,5,5,4,4,1,4,124,1,3,19,57,1,2,5
"36610",0.3,1,0.3,0.517852106241133,0.394095994851657,18861,0.215887573733142,0.137319529940322,769,0.610606511449441,0.393853305256926,0.573460452840663,0.558521040296182,4,4,4,4,4,2,4,3,339,322,33,13,25,4,29,11
"36701",0.3,1,0.35,0.540305080645735,0.479929364284453,13099,0.139958512332265,0.0777581415567848,873,0.441177351726219,0.928872779477388,0.961272688023746,0.762558454740792,4,4,5,5,3,4,4,3,611,1,100,107,82,1,121,6
"36702",0.3,1,0.35,0.531624479166667,0.429777028015796,15218,0.101643287120676,0.0478029405238352,800,0.359595178207383,0.457805631519295,0.49217136609368,0.490613546362147,5,4,4,5,2,4,4,2,486,705,37,170,296,225,64,158
"36703",0.3,1,0.35,0.574019185688535,0.522689976701684,10875,0.206860705272352,0.138053108830788,881,0.960687537188642,0.960432471055537,0.390411283704452,0.883414170937613,4,5,5,4,4,4,2,4,1,733,200,2,1,66,57,2
"36704",0.3,1,0.35,0.561729043202919,0.484378698607498,12451,0.191400281817231,0.135300998107559,831,0.721470472333021,0.723075837828219,0.387243410968222,0.506220646970905,4,5,4,4,4,3,3,2,1,102,91,112,1,27,19,109
"36705",0.3,1,0.35,0.549858039700194,0.492318017012778,14630,0.0374148123399057,0.0167615231113424,881,0.869501950452104,0.482299439958297,0.807084124861285,0.934264505910687,5,4,4,4,2,3,4,4,88,62,1,2,70,25,1,2
"36706",0.3,1,0.35,0.556980012175325,0.511613820885879,12487,0.23396899038042,0.108472574443432,869,0.373255089554004,0.790740221459418,0.66957198898308,0.865554640605114,4,5,5,4,3,3,1,4,139,475,18,1,161,77,13,1
"36707",0.3,1,0.35,0.587013695985909,0.559903854141134,10149,0.32035460013259,0.195192974731157,898,0.865238372329622,0.984653007681481,0.970553601533174,0.833912299503572,5,5,4,4,2,3,4,4,214,220,1,41,67,148,1,3
"36708",0.3,1,0.35,0.572866604149572,0.527397529240197,9293,0.113693687511422,0.0455595465221345,887,0.470624573412351,0.854407298075966,0.538043646980077,0.980443750461564,5,4,4,4,2,4,3,4,693,55,466,1,312,3,95,1
"36709",0.3,1,0.35,0.52019965820559,0.438190445852536,16960,0.0796407051172767,0.0387639954062856,829,0.525056425272487,0.803249252820387,0.503611370828003,0.952588869282044,4,4,5,5,3,4,2,3,65,1,49,25,42,1,40,19
"36710",0.3,1,0.35,0.525200135532885,0.452959776566492,19364,0.0962928814652131,0.0760632851712404,858,0.610606511449441,0.393853305256926,0.573460452840663,0.558521040296182,4,4,4,4,4,3,3,3,511,224,269,482,3,232,97,10
"36801",0.3,1,0.4,0.530025746364277,0.522301188111671,13613,0.0854534392594671,0.0400347658818434,968,0.441177351726219,0.928872779477388,0.961272688023746,0.762558454740792,4,4,5,5,2,4,4,2,96,1,14,51,45,1,8,104
"36802",0.3,1,0.4,0.526731317648584,0.460408392514984,17287,0.0227706626986475,0.00693472700441112,888,0.359595178207383,0.457805631519295,0.49217136609368,0.490613546362147,5,4,4,5,2,3,4,2,71,240,77,748,51,246,35,99
"36803",0.3,1,0.4,0.556880683383852,0.526580939903304,10769,0.160184228399941,0.100046711868211,952,0.960687537188642,0.960432471055537,0.390411283704452,0.883414170937613,4,5,5,4,4,3,2,4,1,114,319,11,1,20,11,4
"36804",0.3,1,0.4,0.546163226724767,0.51584154307946,17260,0.185002836282958,0.0976282077305357,933,0.721470472333021,0.723075837828219,0.387243410968222,0.506220646970905,4,5,4,4,4,3,3,2,1,374,246,13,1,271,5,5
"36805",0.3,1,0.4,0.530129354508197,0.524796045802975,17463,0.0149923818196052,0.00585766256620488,976,0.869501950452104,0.482299439958297,0.807084124861285,0.934264505910687,5,4,4,4,2,3,4,4,268,157,2,1,273,95,2,1
"36806",0.3,1,0.4,0.539498548693824,0.541077692360805,14717,0.184515232399214,0.0821551422218855,970,0.373255089554004,0.790740221459418,0.66957198898308,0.865554640605114,4,5,5,4,3,2,3,4,863,635,923,1,380,5,188,1
"36807",0.3,1,0.4,0.55139765283952,0.56088940720823,13268,0.22863154962666,0.12321595852507,1008,0.865238372329622,0.984653007681481,0.970553601533174,0.833912299503572,5,5,4,4,2,3,4,4,132,483,1,14,44,155,1,3
"36808",0.3,1,0.4,0.563215912365522,0.549243382285129,10474,0.0570951806283757,0.0207348591326614,930,0.470624573412351,0.854407298075966,0.538043646980077,0.980443750461564,5,4,4,4,1,4,3,4,37,41,498,1,16,2,324,1
"36809",0.3,1,0.4,0.513234850768767,0.472917578108265,20581,0.0255635143792346,0.0101773501596089,930,0.525056425272487,0.803249252820387,0.503611370828003,0.952588869282044,4,4,5,5,3,4,2,3,102,11,72,12,129,39,120,11
"36810",0.3,1,0.4,0.500342891861732,0.488047443841853,21432,0.0354709847446294,0.0177269137382905,949,0.610606511449441,0.393853305256926,0.573460452840663,0.558521040296182,4,4,4,4,3,2,4,3,18,184,783,156,10,91,54,270
"36901",0.3,1,0.45,0.536689704851061,0.580295445487668,16515,0.0517020645356622,0.0244101744342397,1057,0.441177351726219,0.928872779477388,0.961272688023746,0.762558454740792,4,4,5,5,2,4,4,2,238,1,291,99,133,1,15,111
"36902",0.3,1,0.45,0.501361920658365,0.489888866406511,17889,0.0168269686845143,0.00403617303648511,974,0.359595178207383,0.457805631519295,0.49217136609368,0.490613546362147,5,4,4,5,1,3,3,1,20,178,6,1,20,266,6,1
"36903",0.3,1,0.45,0.538248069498069,0.555516872732887,11735,0.123014050853053,0.0789659824143603,1036,0.960687537188642,0.960432471055537,0.390411283704452,0.883414170937613,4,5,5,4,4,3,2,4,1,198,252,2,1,97,100,2
"36904",0.3,1,0.45,0.521951424464232,0.527423461001079,20026,0.119621101747474,0.0668593430199759,1019,0.721470472333021,0.723075837828219,0.387243410968222,0.506220646970905,4,5,4,4,4,3,3,1,3,934,59,10,3,78,36,11
"36905",0.3,1,0.45,0.533564337458694,0.55309776307986,18939,0.00578997970339509,0.00349076407423731,1059,0.869501950452104,0.482299439958297,0.807084124861285,0.934264505910687,5,4,4,4,2,2,4,3,109,19,316,45,74,12,277,29
"36906",0.3,1,0.45,0.561317271300655,0.598443677142866,14174,0.191573699497535,0.0283426564111898,1054,0.373255089554004,0.790740221459418,0.66957198898308,0.865554640605114,4,5,5,4,2,2,2,4,213,163,866,1,238,37,48,1
"36907",0.3,1,0.45,0.535058364148271,0.581665435810754,15657,0.0634368826109296,0.0297845598286174,1096,0.865238372329622,0.984653007681481,0.970553601533174,0.833912299503572,5,5,4,4,2,2,4,4,601,301,1,529,135,328,1,10
"36908",0.3,1,0.45,0.534826088224146,0.57322639003367,12420,0.0305378622383027,0.00680012603660631,1051,0.470624573412351,0.854407298075966,0.538043646980077,0.980443750461564,5,4,4,4,1,4,2,4,63,21,190,1,181,2,66,1
"36909",0.3,1,0.45,0.494613072930166,0.512830111832871,20924,0.015441437181553,0.00568703805514617,1027,0.525056425272487,0.803249252820387,0.503611370828003,0.952588869282044,4,4,5,5,2,3,2,3,10,120,230,360,14,71,338,10
"36910",0.3,1,0.45,0.493080965171071,0.517315191742993,21839,0.0326550321013494,0.0143850751879692,1033,0.610606511449441,0.393853305256926,0.573460452840663,0.558521040296182,4,4,4,4,4,2,3,3,14,52,90,30,18,33,86,77
"37001",0.4,0.4,0,0.758641072246605,0.22924961986049,2271,0.833938470698412,0.385529426244078,145,0.4,0.4,0.4,0.4,4,4,5,5,4,4,2,2,1,5,118,135,1,3,69,80
"37002",0.4,0.4,0,0.820541139358077,0.308537690087778,1949,1,0.417594693507933,161,0.4,0.4,0.4,0.4,5,4,4,5,2,4,4,1,3,1,10,1,3,1,6,1
"37003",0.4,0.4,0,0.739710217475944,0.201604318445251,1949,0.713400802805745,0.645746288382699,155,0.4,0.4,0.4,0.4,4,5,5,4,4,5,4,4,2,21,53,5,2,12,22,3
"37004",0.4,0.4,0,0.807596939792663,0.278908883001747,1509,0.933908039324835,0.59633041301429,174,0.4,0.4,0.4,0.4,4,5,4,4,4,1,4,4,6,22,3,1,5,20,3,1
"37005",0.4,0.4,0,0.789097202799306,0.308614424368837,1812,0.711081752912705,0.587452012571421,182,0.4,0.4,0.4,0.4,5,4,4,4,3,4,4,4,45,4,2,1,19,3,2,1
"37006",0.4,0.4,0,0.769757845965556,0.25027619385175,2181,0.639217836092369,0.504741162375138,155,0.4,0.4,0.4,0.4,4,5,5,4,4,3,3,4,1,24,5,2,1,12,26,2
"37007",0.4,0.4,0,0.786420952950558,0.293266152861831,1854,0.751594525248438,0.385954365948955,152,0.4,0.4,0.4,0.4,5,5,4,4,2,2,4,4,121,62,10,1,65,69,5,1
"37008",0.4,0.4,0,0.762079666628898,0.256576193399795,2091,0.945759803133271,0.597262562890725,174,0.4,0.4,0.4,0.4,5,4,4,4,1,4,4,4,24,2,42,1,20,2,16,1
"37009",0.4,0.4,0,0.801785476792127,0.256744474128774,2088,0.794103940133103,0.475044232298238,144,0.4,0.4,0.4,0.4,4,4,5,5,4,4,1,3,1,3,2,144,1,3,2,25
"37010",0.4,0.4,0,0.770257733192875,0.256083810573191,2241,0.811438643862242,0.779688932703533,184,0.4,0.4,0.4,0.4,4,4,4,4,4,4,4,4,3,33,1,4,3,18,1,4
"37101",0.4,0.4,0.05,0.605235597063684,0.173980229964194,4927,0.762611797051275,0.273453458936429,236,0.4,0.4,0.4,0.4,4,4,5,5,4,4,1,1,2,38,1,44,2,23,1,28
"37102",0.4,0.4,0.05,0.660334500871747,0.254389735435615,4050,0.632953103329188,0.30312701974984,257,0.4,0.4,0.4,0.4,5,4,4,5,3,4,4,1,91,1,10,87,38,1,5,38
"37103",0.4,0.4,0.05,0.604330818925277,0.174966130226184,5872,0.436900295977624,0.342819348098344,244,0.4,0.4,0.4,0.4,4,5,5,4,3,5,3,4,2,133,118,39,2,96,87,3
"37104",0.4,0.4,0.05,0.64004745942932,0.217567480768954,4065,0.628640027533408,0.360915407138286,267,0.4,0.4,0.4,0.4,4,5,4,4,4,1,4,4,65,18,1,5,36,12,1,3
"37105",0.4,0.4,0.05,0.689888141219888,0.280371568167114,3776,0.436447819560101,0.316274114422621,279,0.4,0.4,0.4,0.4,5,4,4,4,2,4,4,4,13,1,3,5,22,1,3,7
"37106",0.4,0.4,0.05,0.641821045953825,0.208952468961958,4924,0.434865949179286,0.282025664481276,239,0.4,0.4,0.4,0.4,4,5,5,4,4,3,3,4,1,29,234,19,1,14,156,58
"37107",0.4,0.4,0.05,0.665962482213898,0.249353602889951,4379,0.769618132702499,0.343959660734306,234,0.4,0.4,0.4,0.4,5,5,4,4,2,1,4,4,83,5,4,1,67,5,4,1
"37108",0.4,0.4,0.05,0.625010980419716,0.206328940141764,4004,0.718099010543472,0.435320838714126,262,0.4,0.4,0.4,0.4,5,4,4,4,1,4,3,4,54,52,86,1,46,23,69,1
"37109",0.4,0.4,0.05,0.601656319691399,0.179166901861838,4782,0.669626454834613,0.355762625630834,235,0.4,0.4,0.4,0.4,4,4,5,5,4,4,2,2,1,2,191,4,1,2,125,4
"37110",0.4,0.4,0.05,0.640636701729303,0.202891530533224,5217,0.672560758832845,0.592996506062187,272,0.4,0.4,0.4,0.4,4,4,4,4,4,4,4,3,20,29,9,10,14,11,8,10
"37201",0.4,0.4,0.1,0.554584827169723,0.188493856932732,8514,0.287255843821913,0.0790030189004486,329,0.4,0.4,0.4,0.4,4,4,5,5,4,4,1,1,1,178,43,21,1,131,55,15
"37202",0.4,0.4,0.1,0.625401657656664,0.262642756974717,5968,0.548932035952384,0.232795528205674,352,0.4,0.4,0.4,0.4,5,4,4,5,2,4,4,1,206,1,180,49,141,1,209,19
"37203",0.4,0.4,0.1,0.552379780748517,0.221462496632332,9323,0.287063573003288,0.132610528625529,356,0.4,0.4,0.4,0.4,4,5,5,4,3,4,2,2,2,158,53,21,2,198,86,32
"37204",0.4,0.4,0.1,0.621831172910748,0.238760458514441,7195,0.23062744130263,0.14818737141638,349,0.4,0.4,0.4,0.4,4,5,4,4,3,2,4,4,33,66,31,3,31,51,17,2
"37205",0.4,0.4,0.1,0.628400599436366,0.281521562044577,5517,0.241136614367833,0.157941487505347,357,0.4,0.4,0.4,0.4,5,4,4,4,3,4,4,4,182,9,56,15,77,18,84,11
"37206",0.4,0.4,0.1,0.567202231612916,0.209762586947342,7144,0.452841202310499,0.275155214116723,323,0.4,0.4,0.4,0.4,4,5,5,4,4,2,3,4,6,24,112,1,5,16,100,1
"37207",0.4,0.4,0.1,0.575943972445465,0.222181534142347,9198,0.538583467686028,0.246017926027682,325,0.4,0.4,0.4,0.4,5,5,4,4,3,2,4,4,265,45,86,1,182,33,2,1
"37208",0.4,0.4,0.1,0.585427989130435,0.2433850248414,8041,0.492083889517031,0.263816965174401,368,0.4,0.4,0.4,0.4,5,4,4,4,2,4,2,4,351,172,19,1,236,123,27,1
"37209",0.4,0.4,0.1,0.539987372408713,0.174763372720099,8561,0.479560330609401,0.201917074688546,323,0.4,0.4,0.4,0.4,4,4,5,5,4,3,2,2,4,21,51,163,4,68,37,141
"37210",0.4,0.4,0.1,0.597197927040494,0.233520058665555,7736,0.347956544262155,0.256922489376853,353,0.4,0.4,0.4,0.4,4,4,4,4,2,3,4,3,2,67,21,170,2,39,24,121
"37301",0.4,0.4,0.15,0.51046122283082,0.218348407051098,11611,0.0942608662166518,0.0288726853306389,427,0.4,0.4,0.4,0.4,4,4,5,5,4,3,2,2,81,122,2,115,61,175,2,5
"37302",0.4,0.4,0.15,0.576404869293078,0.286547042841057,9717,0.422309962994049,0.217324792063706,448,0.4,0.4,0.4,0.4,5,4,4,5,2,4,4,2,63,1,118,357,42,1,56,231
"37303",0.4,0.4,0.15,0.524241088849618,0.233864077295466,10804,0.102986148248442,0.0824730260891605,429,0.4,0.4,0.4,0.4,4,5,5,4,3,3,4,1,199,4,91,3,2,7,65,3
"37304",0.4,0.4,0.15,0.570390781927481,0.255698991051383,10189,0.170965839371586,0.08838756555506,441,0.4,0.4,0.4,0.4,4,5,4,4,3,1,4,4,199,11,30,5,1,16,42,7
"37305",0.4,0.4,0.15,0.594382674300222,0.299512140032198,7269,0.135356389042621,0.0844829940420855,449,0.4,0.4,0.4,0.4,5,4,4,4,3,3,3,4,236,50,2,40,169,29,2,23
"37306",0.4,0.4,0.15,0.527070585664336,0.22632079594064,10348,0.228610048737057,0.130603554478795,416,0.4,0.4,0.4,0.4,4,5,5,4,4,3,2,3,10,12,6,15,30,14,5,10
"37307",0.4,0.4,0.15,0.520227909199593,0.22618992366257,14027,0.075677533594716,0.0275540728986634,427,0.4,0.4,0.4,0.4,5,5,4,4,2,2,4,4,34,52,28,2,32,38,20,2
"37308",0.4,0.4,0.15,0.56132234570442,0.26118233857058,9709,0.359912723181665,0.148146761475775,452,0.4,0.4,0.4,0.4,5,4,4,4,1,3,1,4,22,16,18,15,14,12,16,19
"37309",0.4,0.4,0.15,0.542895733737488,0.233282050816454,10051,0.341005626230398,0.123162695954486,423,0.4,0.4,0.4,0.4,4,4,5,5,4,4,2,1,1,22,68,8,1,19,104,7
