"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"705",0,0.1,0.35,0.485416456865638,0.346488498136819,18157,0.000852853842939493,0.000413026759959634,706,0.0813574214931577,0.0260427771368995,0.0724405892658979,0.0906092151300982,5,4,4,4,2,2,2,1,70,45,82,28,124,78,55,22
"706",0,0.1,0.35,0.495934959349593,0.360037272294003,19017,0.000332102283208957,0.000465393487741612,729,0.0104650127934292,0.0701057459227741,0.0527959984261543,0.0807935200864449,4,5,5,4,2,2,2,2,243,583,131,158,237,367,194,20
"707",0,0.1,0.35,0.483424043488979,0.34753670554569,17785,0.000320874491694573,0.000568348753549021,726,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,2,2,2,2,59,710,595,176,90,10,353,142
"708",0,0.1,0.35,0.483450570996147,0.356152889403441,21486,0.000604108796623755,0.0003518531388183,736,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,2,2,3,3,77,231,725,606,91,131,202,377
"709",0,0.1,0.35,0.496467810910515,0.338818789009457,18113,0.000342961479106093,0.000398951331034529,682,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,2,1,2,1,26,2,278,6,33,2,136,4
"710",0,0.1,0.35,0.492482190629228,0.345423227973028,21224,0.000542110252828659,0.00047706924653387,706,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,2,2,2,2,401,348,238,14,60,6,221,11
"801",0,0.1,0.4,0.485065969144743,0.402801635119435,21391,0.00126345217848683,0.000582498639478348,831,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,2,2,3,2,372,709,342,247,181,390,95,99
"802",0,0.1,0.4,0.515541637307863,0.41045864060909,19098,0.000693178401619934,0.00042637084414738,795,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,1,2,3,2,10,499,149,457,10,384,113,44
"803",0,0.1,0.4,0.474303843880713,0.385680551400514,23457,0.00521069103704124,0.00288574404298429,807,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,2,2,2,2,143,11,72,38,99,8,47,32
"804",0,0.1,0.4,0.494680350692354,0.388125357368272,21142,0.000447454345375668,0.000589547345711636,792,0.0602100674761459,0.0604394054040313,0.0124633444240317,0.0294600924244151,4,5,4,4,1,2,2,1,7,151,196,31,7,148,87,50
"805",0,0.1,0.4,0.501560251254254,0.405853441106161,19805,0.000365212905068431,0.000352388559327956,817,0.0813574214931577,0.0260427771368995,0.0724405892658979,0.0906092151300982,5,4,4,4,2,2,2,2,111,787,188,771,82,23,131,22
"806",0,0.1,0.4,0.486365582257702,0.406779216908794,22966,0.000454784452289086,0.000517696942355267,839,0.0104650127934292,0.0701057459227741,0.0527959984261543,0.0807935200864449,4,5,5,4,1,2,2,2,17,148,145,124,14,208,207,5
"807",0,0.1,0.4,0.505489776275035,0.426098256428671,20606,0.00029956990049138,0.000553021503499743,834,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,2,2,2,2,137,92,656,323,279,22,10,32
"808",0,0.1,0.4,0.483049954766832,0.400338287019471,23054,0.000524774854794238,0.000318197788177021,822,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,2,2,2,2,359,426,223,288,165,300,176,178
"809",0,0.1,0.4,0.474511777543648,0.380268369042604,20452,0.000248626423184573,0.000372655556787531,792,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,2,2,1,2,567,773,7,128,331,419,12,76
"810",0,0.1,0.4,0.508055299980433,0.406391921893251,21010,0.000328752414041844,0.000371276152309845,802,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,2,1,2,1,354,31,83,50,256,22,95,67
"901",0,0.1,0.45,0.472710072655915,0.440739662667872,21778,0.00110183769001175,0.000546799894052231,931,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,2,2,2,2,366,70,386,340,297,135,304,188
"902",0,0.1,0.45,0.478641236531228,0.430023205178229,21260,0.0001718057354545,0.000391598160996424,891,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,1,1,2,2,4,5,63,590,4,5,45,342
"903",0,0.1,0.45,0.463157070707071,0.420886490701679,22394,0.00456989625368678,0.00189536379207221,900,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,2,2,1,2,249,216,17,106,104,6,15,227
